ID,User,Reaction Type,Reaction Date,INP_SYSDATE
95,725,Emoticon,1588166684,2020-04-29 17:24:44
96,691,Emoticon,1588166506,2020-04-29 17:21:46
97,681,Like,1588163742,2020-04-29 16:35:42
98,833,Like,1588164679,2020-04-29 16:51:19
99,729,Emoticon,1588164934,2020-04-29 16:55:34
100,682,Comment,1588166577,2020-04-29 17:22:57
101,287,Like,1588166247,2020-04-29 17:17:27
102,714,Comment,1588163928,2020-04-29 16:38:48
103,671,Comment,1588166196,2020-04-29 17:16:36
104,72,Comment,1588163539,2020-04-29 16:32:19
105,688,Comment,1588166501,2020-04-29 17:21:41
106,717,Like,1588170421,2020-04-29 18:27:01
107,684,Comment,1588166799,2020-04-29 17:26:39
108,710,Comment,1588166411,2020-04-29 17:20:11
109,644,Emoticon,1588167839,2020-04-29 17:43:59
110,648,Like,1588163721,2020-04-29 16:35:21
111,715,Emoticon,1588163666,2020-04-29 16:34:26
112,713,Like,1588165107,2020-04-29 16:58:27
113,713,Like,1588164967,2020-04-29 16:56:07
114,684,Comment,1588164676,2020-04-29 16:51:16
115,706,Like,1588168197,2020-04-29 17:49:57
116,701,Emoticon,1588165598,2020-04-29 17:06:38
117,653,Like,1588165922,2020-04-29 17:12:02
118,721,Emoticon,1588164690,2020-04-29 16:51:30
119,736,Like,1588166960,2020-04-29 17:29:20
120,690,Comment,1588163612,2020-04-29 16:33:32
121,644,Comment,1588165427,2020-04-29 17:03:47
122,705,Like,1588164023,2020-04-29 16:40:23
123,705,Comment,1588165630,2020-04-29 17:07:10
124,67,Like,1588165498,2020-04-29 17:04:58
125,681,Emoticon,1588164841,2020-04-29 16:54:01
126,415,Like,1588164364,2020-04-29 16:46:04
127,713,Comment,1588164530,2020-04-29 16:48:50
128,680,Like,1588165620,2020-04-29 17:07:00
129,695,Emoticon,1588161299,2020-04-29 15:54:59
130,695,Comment,1588163722,2020-04-29 16:35:22
131,672,Comment,1588165272,2020-04-29 17:01:12
132,716,Emoticon,1588166354,2020-04-29 17:19:14
133,66,Emoticon,1588163748,2020-04-29 16:35:48
134,703,Like,1588161846,2020-04-29 16:04:06
135,71,Emoticon,1588168385,2020-04-29 17:53:05
136,17,Like,1588166360,2020-04-29 17:19:20
137,636,Like,1588163799,2020-04-29 16:36:39
138,643,Comment,1588165581,2020-04-29 17:06:21
139,75,Comment,1588166509,2020-04-29 17:21:49
140,695,Emoticon,1588169134,2020-04-29 18:05:34
141,707,Emoticon,1588167038,2020-04-29 17:30:38
142,71,Comment,1588170534,2020-04-29 18:28:54
143,677,Emoticon,1588166826,2020-04-29 17:27:06
144,636,Comment,1588166329,2020-04-29 17:18:49
145,415,Comment,1588167964,2020-04-29 17:46:04
146,66,Like,1588166019,2020-04-29 17:13:39
147,670,Comment,1588161592,2020-04-29 15:59:52
148,723,Like,1588166005,2020-04-29 17:13:25
149,415,Like,1588162393,2020-04-29 16:13:13
150,714,Emoticon,1588165459,2020-04-29 17:04:19
151,678,Comment,1588167990,2020-04-29 17:46:30
152,737,Like,1588170609,2020-04-29 18:30:09
153,690,Like,1588165244,2020-04-29 17:00:44
154,68,Like,1588164522,2020-04-29 16:48:42
155,643,Comment,1588166080,2020-04-29 17:14:40
156,696,Emoticon,1588163753,2020-04-29 16:35:53
157,684,Comment,1588165477,2020-04-29 17:04:37
158,685,Emoticon,1588163688,2020-04-29 16:34:48
159,714,Emoticon,1588166993,2020-04-29 17:29:53
160,642,Emoticon,1588166422,2020-04-29 17:20:22
161,730,Like,1588165193,2020-04-29 16:59:53
162,17,Comment,1588164113,2020-04-29 16:41:53
163,709,Like,1588166793,2020-04-29 17:26:33
164,465,Comment,1588169508,2020-04-29 18:11:48
165,706,Comment,1588164791,2020-04-29 16:53:11
166,702,Like,1588164671,2020-04-29 16:51:11
167,716,Comment,1588165839,2020-04-29 17:10:39
168,641,Comment,1588164830,2020-04-29 16:53:50
169,68,Like,1588165402,2020-04-29 17:03:22
170,660,Like,1588166010,2020-04-29 17:13:30
171,694,Like,1588170636,2020-04-29 18:30:36
172,641,Like,1588164893,2020-04-29 16:54:53
173,680,Emoticon,1588164412,2020-04-29 16:46:52
174,716,Emoticon,1588167908,2020-04-29 17:45:08
175,653,Comment,1588167977,2020-04-29 17:46:17
176,678,Emoticon,1588167383,2020-04-29 17:36:23
177,681,Like,1588164502,2020-04-29 16:48:22
178,662,Like,1588165172,2020-04-29 16:59:32
179,710,Comment,1588168224,2020-04-29 17:50:24
180,660,Like,1588167098,2020-04-29 17:31:38
181,720,Comment,1588168353,2020-04-29 17:52:33
182,71,Emoticon,1588164599,2020-04-29 16:49:59
183,681,Like,1588167879,2020-04-29 17:44:39
184,642,Comment,1588163999,2020-04-29 16:39:59
185,648,Emoticon,1588164178,2020-04-29 16:42:58
186,697,Comment,1588168899,2020-04-29 18:01:39
187,711,Like,1588165950,2020-04-29 17:12:30
188,669,Comment,1588164103,2020-04-29 16:41:43
189,652,Comment,1588166566,2020-04-29 17:22:46
190,665,Emoticon,1588164767,2020-04-29 16:52:47
191,680,Emoticon,1588161874,2020-04-29 16:04:34
192,660,Like,1588164687,2020-04-29 16:51:27
193,706,Like,1588167423,2020-04-29 17:37:03
194,724,Comment,1588161571,2020-04-29 15:59:31
195,67,Like,1588166565,2020-04-29 17:22:45
196,716,Emoticon,1588164479,2020-04-29 16:47:59
197,72,Emoticon,1588163655,2020-04-29 16:34:15
198,699,Comment,1588164055,2020-04-29 16:40:55
199,68,Comment,1588161485,2020-04-29 15:58:05
200,711,Like,1588161950,2020-04-29 16:05:50
201,640,Comment,1588166531,2020-04-29 17:22:11
202,639,Comment,1588167645,2020-04-29 17:40:45
203,702,Emoticon,1588160054,2020-04-29 15:34:14
204,690,Emoticon,1588167364,2020-04-29 17:36:04
205,656,Like,1588163192,2020-04-29 16:26:32
206,692,Comment,1588164742,2020-04-29 16:52:22
207,648,Comment,1588169188,2020-04-29 18:06:28
208,737,Like,1588165409,2020-04-29 17:03:29
209,808,Emoticon,1588164835,2020-04-29 16:53:55
210,700,Emoticon,1588164950,2020-04-29 16:55:50
211,717,Comment,1588167133,2020-04-29 17:32:13
212,725,Emoticon,1588164254,2020-04-29 16:44:14
213,72,Emoticon,1588168691,2020-04-29 17:58:11
214,653,Like,1588163480,2020-04-29 16:31:20
215,733,Like,1588164809,2020-04-29 16:53:29
216,640,Emoticon,1588160810,2020-04-29 15:46:50
217,657,Like,1588162622,2020-04-29 16:17:02
218,693,Like,1588163000,2020-04-29 16:23:20
219,703,Comment,1588164565,2020-04-29 16:49:25
220,734,Comment,1588164797,2020-04-29 16:53:17
221,727,Like,1588166206,2020-04-29 17:16:46
222,715,Comment,1588166414,2020-04-29 17:20:14
223,689,Emoticon,1588164297,2020-04-29 16:44:57
224,689,Emoticon,1588164348,2020-04-29 16:45:48
225,17,Comment,1588165903,2020-04-29 17:11:43
226,71,Like,1588166030,2020-04-29 17:13:50
227,733,Comment,1588166686,2020-04-29 17:24:46
228,692,Comment,1588164220,2020-04-29 16:43:40
229,649,Like,1588166055,2020-04-29 17:14:15
230,651,Comment,1588164292,2020-04-29 16:44:52
231,687,Like,1588163864,2020-04-29 16:37:44
232,645,Emoticon,1588164604,2020-04-29 16:50:04
233,693,Emoticon,1588166766,2020-04-29 17:26:06
234,640,Emoticon,1588163684,2020-04-29 16:34:44
235,642,Like,1588162986,2020-04-29 16:23:06
236,653,Comment,1588161730,2020-04-29 16:02:10
237,690,Like,1588164946,2020-04-29 16:55:46
238,685,Emoticon,1588165780,2020-04-29 17:09:40
239,691,Emoticon,1588162400,2020-04-29 16:13:20
240,662,Emoticon,1588167973,2020-04-29 17:46:13
241,667,Emoticon,1588168082,2020-04-29 17:48:02
242,67,Like,1588163774,2020-04-29 16:36:14
243,724,Emoticon,1588168418,2020-04-29 17:53:38
244,679,Comment,1588167081,2020-04-29 17:31:21
245,670,Like,1588165552,2020-04-29 17:05:52
246,634,Emoticon,1588167116,2020-04-29 17:31:56
247,733,Like,1588162306,2020-04-29 16:11:46
248,704,Like,1588168287,2020-04-29 17:51:27
249,687,Comment,1588162592,2020-04-29 16:16:32
250,680,Comment,1588166271,2020-04-29 17:17:51
251,698,Emoticon,1588165207,2020-04-29 17:00:07
252,686,Comment,1588162808,2020-04-29 16:20:08
253,66,Like,1588164972,2020-04-29 16:56:12
254,656,Comment,1588162953,2020-04-29 16:22:33
255,654,Comment,1588167484,2020-04-29 17:38:04
256,664,Emoticon,1588166757,2020-04-29 17:25:57
257,664,Comment,1588164368,2020-04-29 16:46:08
258,68,Emoticon,1588163981,2020-04-29 16:39:41
259,691,Emoticon,1588161671,2020-04-29 16:01:11
260,75,Comment,1588166014,2020-04-29 17:13:34
261,672,Like,1588168965,2020-04-29 18:02:45
262,683,Like,1588170315,2020-04-29 18:25:15
263,637,Like,1588162920,2020-04-29 16:22:00
264,678,Like,1588166253,2020-04-29 17:17:33
265,635,Like,1588167108,2020-04-29 17:31:48
266,722,Emoticon,1588164808,2020-04-29 16:53:28
267,685,Like,1588165790,2020-04-29 17:09:50
268,657,Like,1588166637,2020-04-29 17:23:57
269,736,Comment,1588167034,2020-04-29 17:30:34
270,643,Emoticon,1588164622,2020-04-29 16:50:22
271,706,Comment,1588165156,2020-04-29 16:59:16
272,671,Comment,1588165210,2020-04-29 17:00:10
273,652,Like,1588163869,2020-04-29 16:37:49
274,645,Comment,1588163228,2020-04-29 16:27:08
275,705,Emoticon,1588162960,2020-04-29 16:22:40
276,17,Comment,1588168830,2020-04-29 18:00:30
277,670,Like,1588165142,2020-04-29 16:59:02
278,75,Comment,1588166083,2020-04-29 17:14:43
279,647,Emoticon,1588166737,2020-04-29 17:25:37
280,17,Emoticon,1588165671,2020-04-29 17:07:51
281,705,Like,1588165276,2020-04-29 17:01:16
282,635,Comment,1588162658,2020-04-29 16:17:38
283,691,Like,1588164060,2020-04-29 16:41:00
284,707,Comment,1588165800,2020-04-29 17:10:00
285,641,Emoticon,1588163248,2020-04-29 16:27:28
286,724,Comment,1588166295,2020-04-29 17:18:15
287,734,Emoticon,1588163283,2020-04-29 16:28:03
288,665,Like,1588164994,2020-04-29 16:56:34
289,833,Comment,1588166897,2020-04-29 17:28:17
290,68,Emoticon,1588165364,2020-04-29 17:02:44
291,673,Like,1588163308,2020-04-29 16:28:28
292,68,Like,1588166741,2020-04-29 17:25:41
293,666,Like,1588164180,2020-04-29 16:43:00
294,684,Like,1588167067,2020-04-29 17:31:07
295,728,Comment,1588163680,2020-04-29 16:34:40
296,697,Comment,1588166092,2020-04-29 17:14:52
297,697,Comment,1588168503,2020-04-29 17:55:03
298,734,Like,1588167400,2020-04-29 17:36:40
299,788,Emoticon,1588167384,2020-04-29 17:36:24
300,673,Like,1588168837,2020-04-29 18:00:37
301,648,Emoticon,1588165968,2020-04-29 17:12:48
302,72,Like,1588168609,2020-04-29 17:56:49
303,717,Comment,1588162419,2020-04-29 16:13:39
304,664,Emoticon,1588168286,2020-04-29 17:51:26
305,690,Comment,1588164383,2020-04-29 16:46:23
306,717,Comment,1588163796,2020-04-29 16:36:36
307,636,Like,1588160355,2020-04-29 15:39:15
308,287,Comment,1588166660,2020-04-29 17:24:20
309,118,Emoticon,1588168034,2020-04-29 17:47:14
310,639,Emoticon,1588164272,2020-04-29 16:44:32
311,735,Emoticon,1588164418,2020-04-29 16:46:58
312,722,Emoticon,1588163466,2020-04-29 16:31:06
313,696,Like,1588163444,2020-04-29 16:30:44
314,675,Emoticon,1588164889,2020-04-29 16:54:49
315,696,Emoticon,1588165236,2020-04-29 17:00:36
316,681,Emoticon,1588164585,2020-04-29 16:49:45
317,671,Emoticon,1588162840,2020-04-29 16:20:40
318,704,Emoticon,1588167950,2020-04-29 17:45:50
319,724,Comment,1588165507,2020-04-29 17:05:07
320,724,Like,1588161847,2020-04-29 16:04:07
321,718,Emoticon,1588167786,2020-04-29 17:43:06
322,707,Emoticon,1588164155,2020-04-29 16:42:35
323,695,Comment,1588164505,2020-04-29 16:48:25
324,415,Like,1588165160,2020-04-29 16:59:20
325,651,Comment,1588165019,2020-04-29 16:56:59
326,694,Like,1588166411,2020-04-29 17:20:11
327,650,Like,1588165461,2020-04-29 17:04:21
328,656,Like,1588164710,2020-04-29 16:51:50
329,666,Like,1588166861,2020-04-29 17:27:41
330,415,Like,1588161609,2020-04-29 16:00:09
331,647,Comment,1588162115,2020-04-29 16:08:35
332,833,Like,1588165956,2020-04-29 17:12:36
333,682,Emoticon,1588164251,2020-04-29 16:44:11
334,735,Comment,1588164826,2020-04-29 16:53:46
335,706,Emoticon,1588165418,2020-04-29 17:03:38
336,764,Comment,1588165843,2020-04-29 17:10:43
337,71,Emoticon,1588166241,2020-04-29 17:17:21
338,701,Comment,1588165049,2020-04-29 16:57:29
339,655,Emoticon,1588164560,2020-04-29 16:49:20
340,67,Like,1588165266,2020-04-29 17:01:06
341,73,Like,1588167562,2020-04-29 17:39:22
342,700,Comment,1588162121,2020-04-29 16:08:41
343,118,Like,1588165882,2020-04-29 17:11:22
344,667,Comment,1588168977,2020-04-29 18:02:57
345,674,Emoticon,1588163650,2020-04-29 16:34:10
346,636,Like,1588165667,2020-04-29 17:07:47
347,684,Emoticon,1588165042,2020-04-29 16:57:22
348,642,Comment,1588163421,2020-04-29 16:30:21
349,677,Like,1588164566,2020-04-29 16:49:26
350,709,Like,1588168272,2020-04-29 17:51:12
351,683,Like,1588163545,2020-04-29 16:32:25
352,694,Comment,1588164714,2020-04-29 16:51:54
353,660,Like,1588167711,2020-04-29 17:41:51
354,703,Emoticon,1588165739,2020-04-29 17:08:59
355,667,Like,1588168978,2020-04-29 18:02:58
356,668,Comment,1588163435,2020-04-29 16:30:35
357,833,Emoticon,1588165702,2020-04-29 17:08:22
358,735,Emoticon,1588165745,2020-04-29 17:09:05
359,73,Comment,1588165074,2020-04-29 16:57:54
360,682,Emoticon,1588164439,2020-04-29 16:47:19
361,692,Emoticon,1588167166,2020-04-29 17:32:46
362,717,Comment,1588164329,2020-04-29 16:45:29
363,808,Emoticon,1588167924,2020-04-29 17:45:24
364,516,Like,1588164235,2020-04-29 16:43:55
365,683,Like,1588167326,2020-04-29 17:35:26
366,680,Emoticon,1588163577,2020-04-29 16:32:57
367,708,Comment,1588166037,2020-04-29 17:13:57
368,705,Comment,1588164727,2020-04-29 16:52:07
369,639,Like,1588164140,2020-04-29 16:42:20
370,833,Like,1588166893,2020-04-29 17:28:13
371,719,Comment,1588165052,2020-04-29 16:57:32
372,71,Like,1588165257,2020-04-29 17:00:57
373,700,Comment,1588167204,2020-04-29 17:33:24
374,640,Like,1588166070,2020-04-29 17:14:30
375,710,Comment,1588164340,2020-04-29 16:45:40
376,691,Like,1588164349,2020-04-29 16:45:49
377,708,Like,1588167049,2020-04-29 17:30:49
378,726,Comment,1588166144,2020-04-29 17:15:44
379,676,Like,1588162687,2020-04-29 16:18:07
380,715,Emoticon,1588166005,2020-04-29 17:13:25
381,712,Comment,1588168687,2020-04-29 17:58:07
382,686,Like,1588165584,2020-04-29 17:06:24
383,643,Like,1588163454,2020-04-29 16:30:54
384,788,Comment,1588160812,2020-04-29 15:46:52
385,727,Comment,1588166122,2020-04-29 17:15:22
386,689,Emoticon,1588164169,2020-04-29 16:42:49
387,697,Comment,1588168293,2020-04-29 17:51:33
388,638,Like,1588166907,2020-04-29 17:28:27
389,642,Like,1588162623,2020-04-29 16:17:03
390,714,Emoticon,1588164096,2020-04-29 16:41:36
391,717,Emoticon,1588165042,2020-04-29 16:57:22
392,694,Comment,1588163212,2020-04-29 16:26:52
393,681,Like,1588164609,2020-04-29 16:50:09
394,655,Emoticon,1588166742,2020-04-29 17:25:42
395,652,Comment,1588165916,2020-04-29 17:11:56
396,719,Emoticon,1588163373,2020-04-29 16:29:33
397,634,Like,1588165317,2020-04-29 17:01:57
398,664,Emoticon,1588164646,2020-04-29 16:50:46
399,701,Comment,1588166328,2020-04-29 17:18:48
400,673,Emoticon,1588168476,2020-04-29 17:54:36
401,764,Comment,1588163434,2020-04-29 16:30:34
402,703,Like,1588160251,2020-04-29 15:37:31
403,656,Emoticon,1588165112,2020-04-29 16:58:32
404,516,Like,1588166346,2020-04-29 17:19:06
405,663,Comment,1588164683,2020-04-29 16:51:23
406,703,Emoticon,1588166601,2020-04-29 17:23:21
407,638,Like,1588164604,2020-04-29 16:50:04
408,681,Comment,1588163061,2020-04-29 16:24:21
409,736,Like,1588168200,2020-04-29 17:50:00
410,808,Comment,1588160335,2020-04-29 15:38:55
411,666,Comment,1588165226,2020-04-29 17:00:26
412,657,Emoticon,1588168112,2020-04-29 17:48:32
413,712,Comment,1588162936,2020-04-29 16:22:16
414,73,Emoticon,1588160788,2020-04-29 15:46:28
415,640,Comment,1588167885,2020-04-29 17:44:45
416,678,Emoticon,1588164118,2020-04-29 16:41:58
417,694,Emoticon,1588165923,2020-04-29 17:12:03
418,680,Comment,1588162989,2020-04-29 16:23:09
419,703,Comment,1588164707,2020-04-29 16:51:47
420,657,Emoticon,1588166180,2020-04-29 17:16:20
421,655,Emoticon,1588164747,2020-04-29 16:52:27
422,715,Like,1588166131,2020-04-29 17:15:31
423,700,Like,1588163991,2020-04-29 16:39:51
424,74,Like,1588166377,2020-04-29 17:19:37
425,671,Comment,1588167123,2020-04-29 17:32:03
426,693,Comment,1588164195,2020-04-29 16:43:15
427,833,Comment,1588164601,2020-04-29 16:50:01
428,808,Like,1588166654,2020-04-29 17:24:14
429,645,Comment,1588164286,2020-04-29 16:44:46
430,690,Like,1588167970,2020-04-29 17:46:10
431,664,Emoticon,1588164746,2020-04-29 16:52:26
432,644,Like,1588165455,2020-04-29 17:04:15
433,655,Comment,1588166294,2020-04-29 17:18:14
434,703,Like,1588165522,2020-04-29 17:05:22
435,678,Emoticon,1588169314,2020-04-29 18:08:34
436,833,Comment,1588166487,2020-04-29 17:21:27
437,710,Comment,1588164175,2020-04-29 16:42:55
438,75,Comment,1588162762,2020-04-29 16:19:22
439,636,Like,1588165185,2020-04-29 16:59:45
440,646,Like,1588165818,2020-04-29 17:10:18
441,703,Comment,1588166672,2020-04-29 17:24:32
442,731,Comment,1588166184,2020-04-29 17:16:24
443,729,Emoticon,1588165397,2020-04-29 17:03:17
444,642,Comment,1588164492,2020-04-29 16:48:12
445,674,Like,1588166502,2020-04-29 17:21:42
446,716,Like,1588164353,2020-04-29 16:45:53
447,660,Like,1588161784,2020-04-29 16:03:04
448,715,Like,1588160936,2020-04-29 15:48:56
449,686,Like,1588167175,2020-04-29 17:32:55
450,69,Comment,1588163149,2020-04-29 16:25:49
451,17,Emoticon,1588163789,2020-04-29 16:36:29
452,658,Like,1588167134,2020-04-29 17:32:14
453,645,Emoticon,1588162712,2020-04-29 16:18:32
454,660,Like,1588164310,2020-04-29 16:45:10
455,733,Like,1588167765,2020-04-29 17:42:45
456,645,Comment,1588162152,2020-04-29 16:09:12
457,72,Like,1588164716,2020-04-29 16:51:56
458,636,Emoticon,1588160617,2020-04-29 15:43:37
459,647,Comment,1588168897,2020-04-29 18:01:37
460,678,Emoticon,1588162965,2020-04-29 16:22:45
461,717,Like,1588164531,2020-04-29 16:48:51
462,696,Emoticon,1588165697,2020-04-29 17:08:17
463,675,Like,1588166384,2020-04-29 17:19:44
464,723,Like,1588160041,2020-04-29 15:34:01
465,726,Like,1588163016,2020-04-29 16:23:36
466,667,Comment,1588169203,2020-04-29 18:06:43
467,644,Emoticon,1588167649,2020-04-29 17:40:49
468,713,Like,1588166998,2020-04-29 17:29:58
469,661,Comment,1588167012,2020-04-29 17:30:12
470,652,Emoticon,1588166491,2020-04-29 17:21:31
471,639,Emoticon,1588164704,2020-04-29 16:51:44
472,684,Comment,1588165084,2020-04-29 16:58:04
473,704,Emoticon,1588167370,2020-04-29 17:36:10
474,682,Comment,1588165157,2020-04-29 16:59:17
475,666,Like,1588169577,2020-04-29 18:12:57
476,642,Emoticon,1588166853,2020-04-29 17:27:33
477,719,Like,1588162814,2020-04-29 16:20:14
478,670,Emoticon,1588165865,2020-04-29 17:11:05
479,640,Comment,1588169382,2020-04-29 18:09:42
480,710,Like,1588165534,2020-04-29 17:05:34
481,664,Comment,1588163890,2020-04-29 16:38:10
482,696,Like,1588164637,2020-04-29 16:50:37
483,737,Comment,1588167702,2020-04-29 17:41:42
484,734,Comment,1588166911,2020-04-29 17:28:31
485,674,Like,1588164860,2020-04-29 16:54:20
486,716,Emoticon,1588163992,2020-04-29 16:39:52
487,67,Like,1588164656,2020-04-29 16:50:56
488,635,Like,1588163264,2020-04-29 16:27:44
489,72,Like,1588164746,2020-04-29 16:52:26
490,71,Like,1588166409,2020-04-29 17:20:09
491,736,Emoticon,1588166219,2020-04-29 17:16:59
492,72,Emoticon,1588164928,2020-04-29 16:55:28
493,730,Emoticon,1588162396,2020-04-29 16:13:16
494,655,Emoticon,1588166837,2020-04-29 17:27:17
495,651,Emoticon,1588163916,2020-04-29 16:38:36
496,664,Comment,1588164665,2020-04-29 16:51:05
497,706,Emoticon,1588168397,2020-04-29 17:53:17
498,736,Emoticon,1588166740,2020-04-29 17:25:40
499,730,Emoticon,1588165794,2020-04-29 17:09:54
500,663,Comment,1588165765,2020-04-29 17:09:25
501,710,Like,1588165320,2020-04-29 17:02:00
502,645,Comment,1588165523,2020-04-29 17:05:23
503,671,Like,1588165554,2020-04-29 17:05:54
504,650,Like,1588162039,2020-04-29 16:07:19
505,737,Like,1588165837,2020-04-29 17:10:37
506,649,Comment,1588165724,2020-04-29 17:08:44
507,651,Emoticon,1588164113,2020-04-29 16:41:53
508,735,Emoticon,1588165067,2020-04-29 16:57:47
509,808,Like,1588167596,2020-04-29 17:39:56
510,639,Comment,1588163807,2020-04-29 16:36:47
511,636,Like,1588167047,2020-04-29 17:30:47
512,735,Comment,1588166943,2020-04-29 17:29:03
513,670,Like,1588164507,2020-04-29 16:48:27
514,688,Comment,1588164381,2020-04-29 16:46:21
515,656,Emoticon,1588164895,2020-04-29 16:54:55
516,673,Comment,1588166590,2020-04-29 17:23:10
517,737,Comment,1588167075,2020-04-29 17:31:15
518,671,Comment,1588166770,2020-04-29 17:26:10
519,764,Comment,1588165722,2020-04-29 17:08:42
520,643,Comment,1588163715,2020-04-29 16:35:15
521,635,Like,1588164466,2020-04-29 16:47:46
522,653,Emoticon,1588162619,2020-04-29 16:16:59
523,788,Emoticon,1588163538,2020-04-29 16:32:18
524,69,Like,1588163145,2020-04-29 16:25:45
525,72,Emoticon,1588166859,2020-04-29 17:27:39
526,644,Emoticon,1588165931,2020-04-29 17:12:11
527,646,Emoticon,1588163271,2020-04-29 16:27:51
528,721,Comment,1588165464,2020-04-29 17:04:24
529,650,Like,1588165808,2020-04-29 17:10:08
530,690,Like,1588165625,2020-04-29 17:07:05
