ID,Friend 1,Friend 2
513,52,521
514,53,403
515,53,982
516,53,829
517,53,833
518,53,321
519,53,326
520,53,700
521,53,994
522,53,478
523,53,188
524,53,317
525,54,831
526,54,269
527,54,636
528,54,945
529,54,756
530,54,12
531,54,490
532,55,230
533,55,30
534,55,946
535,55,234
536,55,960
537,55,320
538,55,378
539,56,883
540,56,854
541,56,710
542,56,596
543,56,712
544,56,862
545,56,525
546,56,940
547,56,704
548,56,671
549,57,826
550,57,91
551,57,939
552,57,15
553,57,824
554,57,269
555,57,772
556,57,921
557,57,336
558,57,89
559,57,813
560,58,282
561,58,903
562,58,249
563,58,408
564,58,668
565,58,511
566,58,329
567,58,848
568,59,574
569,59,201
570,59,141
571,59,346
572,59,566
573,59,718
574,59,118
575,59,846
576,59,528
577,59,80
578,59,681
579,59,872
580,59,795
581,59,524
582,60,627
583,60,746
584,60,154
585,60,532
586,60,591
587,60,292
588,60,454
589,61,97
590,61,252
591,61,635
592,61,610
593,61,624
594,61,838
595,61,317
596,61,551
597,61,575
598,61,9
599,61,881
600,61,333
601,61,245
602,62,142
603,62,616
604,62,932
605,62,538
606,62,232
607,62,314
608,62,259
609,62,603
610,62,821
611,62,563
612,62,364
613,62,925
614,63,442
615,63,822
616,63,589
617,63,872
618,63,195
619,63,957
620,63,82
621,63,567
622,63,577
623,63,483
624,63,688
625,63,769
626,64,206
627,64,111
628,64,842
629,64,163
630,64,731
631,64,657
632,64,873
633,64,92
634,64,523
635,65,76
636,65,315
637,65,992
638,65,760
639,65,440
640,66,886
641,66,805
642,66,293
643,66,65
644,66,388
645,66,210
646,66,772
647,66,736
648,66,274
649,66,129
650,67,358
651,67,196
652,67,427
653,67,398
654,67,144
655,67,840
656,67,967
657,68,155
658,68,420
659,68,78
660,68,340
661,68,348
662,68,765
663,69,602
664,69,873
665,69,19
666,69,759
667,69,742
668,69,817
669,69,300
670,69,482
671,69,852
672,69,349
673,69,188
674,69,56
675,69,497
676,70,960
677,70,723
678,70,908
679,70,935
680,70,180
681,70,523
682,70,483
683,70,271
684,70,220
685,70,918
686,70,653
687,71,276
688,71,497
689,71,795
690,71,973
691,71,397
692,71,158
693,71,400
694,71,609
695,71,851
696,71,263
697,71,254
698,71,631
699,72,276
700,72,959
701,72,160
702,72,679
703,72,505
704,72,290
705,72,740
706,72,439
707,72,528
708,73,923
709,73,474
710,73,491
711,73,973
712,73,311
713,73,698
714,73,146
715,73,788
716,73,333
717,73,138
718,73,427
719,73,682
720,74,258
721,74,322
722,74,194
723,74,759
724,74,721
725,74,168
726,74,926
727,74,627
728,74,753
729,74,193
730,74,981
731,75,121
732,75,948
733,75,56
734,75,611
735,75,153
736,75,349
737,75,918
738,75,44
739,76,154
740,76,764
741,76,297
742,76,578
743,76,414
744,76,859
745,77,880
746,77,918
747,77,722
748,77,456
749,77,933
750,77,229
751,77,509
752,77,401
753,77,200
754,77,195
755,77,784
756,78,440
757,78,239
758,78,314
759,78,857
760,78,631
761,79,286
762,79,649
763,79,613
764,79,314
765,79,69
766,79,989
767,79,597
768,80,656
769,80,141
770,80,241
771,80,512
772,80,466
773,80,430
774,80,359
775,80,253
776,80,861
777,80,154
778,80,129
779,80,141
780,81,746
781,81,168
782,81,636
783,81,702
784,81,278
785,81,580
786,81,887
787,82,326
788,82,440
789,82,833
790,82,222
791,82,921
792,82,845
793,83,158
794,83,632
795,83,186
796,83,680
797,83,630
798,83,366
799,84,798
800,84,135
801,84,455
802,84,209
803,84,862
804,84,909
805,84,148
806,84,542
807,84,77
808,84,135
809,84,66
810,85,964
811,85,507
812,85,551
813,85,190
814,85,53
815,85,87
816,85,674
817,86,924
818,86,42
819,86,104
820,86,869
821,86,872
822,86,864
823,86,629
824,87,645
825,87,926
826,87,330
827,87,959
828,87,512
829,88,984
830,88,661
831,88,227
832,88,856
833,88,180
834,88,8
835,88,448
836,88,287
837,88,224
838,88,130
839,89,255
840,89,137
841,89,651
842,89,248
843,89,791
844,90,818
845,90,378
846,90,769
847,90,798
848,90,849
849,90,821
850,90,556
851,90,666
852,90,511
853,90,647
854,90,898
855,90,994
856,90,311
857,90,139
858,91,125
859,91,674
860,91,567
861,91,942
862,91,443
863,91,120
864,91,25
865,91,621
866,92,993
867,92,251
868,92,593
869,92,234
870,92,927
871,92,785
872,92,624
873,92,439
874,92,666
875,92,644
876,92,143
877,92,272
878,92,913
879,93,148
880,93,219
881,93,58
882,93,622
883,93,646
884,93,966
885,93,270
886,93,299
887,93,597
888,93,972
889,93,613
890,94,995
891,94,768
892,94,223
893,94,502
894,94,64
895,94,516
896,94,2
897,94,13
898,94,208
899,94,107
900,94,82
901,94,501
902,94,699
903,94,886
904,95,990
905,95,930
906,95,992
907,95,800
908,95,263
909,95,506
910,95,37
911,95,296
912,95,594
913,95,919
914,95,825
915,95,657
916,95,940
917,95,743
918,96,837
919,96,335
920,96,18
921,96,605
922,96,108
923,97,809
924,97,950
925,97,119
926,97,341
927,97,976
928,97,120
929,97,497
930,97,854
931,97,893
932,97,826
933,98,320
934,98,841
935,98,150
936,98,228
937,98,912
938,98,910
939,98,799
940,98,369
941,99,44
942,99,447
943,99,711
944,99,760
945,99,216
946,99,394
947,99,965
948,100,201
949,100,887
950,100,962
951,100,565
952,100,213
953,100,114
954,100,401
955,100,924
956,101,303
957,101,964
958,101,864
959,101,137
960,101,811
961,102,895
962,102,802
963,102,957
964,102,156
965,102,361
966,102,253
967,103,45
968,103,127
969,103,770
970,103,22
971,103,107
972,103,39
973,104,459
974,104,532
975,104,796
976,104,50
977,104,27
978,104,395
979,104,285
980,104,356
981,104,617
982,104,291
983,104,874
984,104,504
985,104,538
986,105,588
987,105,129
988,105,977
989,105,401
990,105,799
991,105,942
992,105,97
993,105,124
994,105,245
995,105,289
996,105,81
997,106,658
998,106,294
999,106,681
1000,106,513
1001,106,446
1002,107,534
1003,107,897
1004,107,148
1005,107,359
1006,107,505
1007,107,568
1008,107,38
1009,107,660
1010,107,391
1011,107,466
1012,107,333
1013,107,36
1014,107,257
1015,107,363
1016,108,995
1017,108,212
1018,108,755
1019,108,43
1020,108,317
1021,108,2
1022,108,845
1023,108,158
1024,108,171
1025,108,992
1026,108,946
1027,108,880
1028,108,563
1029,108,654
1030,109,293
1031,109,844
1032,109,714
1033,109,45
1034,109,292
1035,109,352
1036,109,902
1037,109,843
1038,109,348
1039,109,668
1040,109,257
1041,109,362
1042,109,911
1043,110,788
1044,110,750
1045,110,18
1046,110,420
1047,110,689
1048,110,53
1049,111,472
1050,111,238
1051,111,310
1052,111,941
1053,111,493
1054,111,930
1055,112,442
1056,112,181
1057,112,775
1058,112,398
1059,112,541
1060,112,16
1061,112,155
1062,112,253
1063,113,373
1064,113,316
1065,113,429
1066,113,131
1067,113,585
1068,113,727
1069,113,827
1070,114,340
1071,114,118
1072,114,521
1073,114,459
1074,114,875
1075,115,67
1076,115,156
1077,115,415
1078,115,317
1079,115,331
1080,115,602
1081,115,752
1082,115,138
1083,115,98
1084,116,527
1085,116,297
1086,116,235
1087,116,86
1088,116,271
1089,116,133
1090,116,346
1091,116,767
1092,117,366
1093,117,946
1094,117,613
1095,117,367
1096,117,596
1097,117,122
1098,117,979
1099,117,533
1100,117,759
1101,117,15
1102,117,21
1103,117,146
1104,117,569
1105,117,519
1106,118,312
1107,118,677
1108,118,786
1109,118,707
1110,118,765
1111,118,997
1112,118,684
1113,118,857
1114,118,798
1115,118,807
1116,118,767
1117,118,832
1118,118,286
1119,119,744
1120,119,792
1121,119,772
1122,119,154
1123,119,95
1124,119,275
1125,119,473
1126,119,64
1127,119,854
1128,119,261
1129,119,678
1130,119,386
1131,119,903
1132,119,643
1133,120,300
1134,120,338
1135,120,599
1136,120,986
1137,120,174
1138,120,190
1139,120,461
1140,120,225
1141,120,368
1142,120,10
1143,121,775
1144,121,434
1145,121,627
1146,121,552
1147,121,156
1148,121,397
1149,121,876
1150,122,698
1151,122,202
1152,122,32
1153,122,226
1154,122,696
1155,122,941
1156,122,752
1157,122,745
1158,123,631
1159,123,715
1160,123,308
1161,123,327
1162,123,540
1163,123,668
1164,123,758
1165,123,464
1166,123,881
1167,123,809
1168,123,71
1169,123,304
1170,123,52
1171,124,480
1172,124,629
1173,124,149
1174,124,404
1175,124,850
1176,124,274
1177,124,926
1178,124,913
1179,124,768
1180,124,859
1181,124,510
1182,125,316
1183,125,914
1184,125,770
1185,125,696
1186,125,722
1187,125,567
1188,126,435
1189,126,104
1190,126,605
1191,126,530
1192,126,959
1193,127,902
1194,127,128
1195,127,886
1196,127,103
1197,127,800
1198,127,485
1199,127,266
1200,127,321
1201,127,90
1202,127,926
1203,127,884
1204,128,803
1205,128,882
1206,128,345
1207,128,674
1208,128,20
1209,128,664
1210,129,960
1211,129,863
1212,129,363
1213,129,946
1214,129,554
1215,130,469
1216,130,587
1217,130,85
1218,130,477
1219,130,406
1220,130,721
1221,130,125
1222,130,844
1223,130,516
1224,131,618
1225,131,504
1226,131,166
1227,131,120
1228,131,219
1229,132,548
1230,132,306
1231,132,540
1232,132,168
1233,132,336
1234,132,733
1235,132,193
1236,132,896
1237,132,562
1238,133,519
1239,133,490
1240,133,54
1241,133,243
1242,133,241
1243,133,375
1244,133,806
1245,133,385
1246,133,812
1247,134,587
1248,134,743
1249,134,120
1250,134,946
1251,134,681
1252,134,342
1253,134,761
1254,134,247
1255,134,384
1256,134,313
1257,134,418
1258,134,153
1259,135,823
1260,135,319
1261,135,447
1262,135,363
1263,135,331
1264,135,634
1265,135,543
1266,135,874
1267,135,320
1268,136,483
1269,136,302
1270,136,156
1271,136,701
1272,136,61
1273,136,11
1274,136,796
1275,136,655
1276,137,388
1277,137,666
1278,137,17
1279,137,28
1280,137,325
1281,137,465
1282,137,276
1283,137,113
1284,138,494
1285,138,591
1286,138,430
1287,138,884
1288,138,191
1289,138,756
1290,138,482
1291,138,230
1292,138,642
1293,138,399
1294,138,432
1295,138,618
1296,138,723
1297,138,938
1298,139,411
1299,139,892
1300,139,892
1301,139,116
1302,139,650
1303,139,791
1304,139,899
1305,139,983
1306,139,76
1307,139,236
1308,139,403
1309,139,864
1310,140,517
1311,140,300
1312,140,35
1313,140,509
1314,140,511
1315,140,867
1316,141,41
1317,141,613
1318,141,938
1319,141,613
1320,141,792
1321,141,495
1322,141,693
1323,141,287
1324,141,731
1325,141,444
1326,141,976
1327,141,868
1328,141,996
1329,141,163
1330,142,246
1331,142,137
1332,142,766
1333,142,569
1334,142,227
1335,142,86
1336,142,135
1337,143,722
1338,143,545
1339,143,224
1340,143,671
1341,143,725
1342,144,331
1343,144,389
1344,144,668
1345,144,483
1346,144,146
1347,144,519
1348,144,676
1349,144,602
1350,144,236
1351,144,410
1352,144,105
1353,144,787
1354,144,469
1355,144,784
1356,145,337
1357,145,725
1358,145,282
1359,145,89
1360,145,35
1361,145,532
1362,145,673
1363,145,525
1364,145,505
1365,145,732
1366,145,322
1367,145,631
1368,145,477
1369,146,277
1370,146,139
1371,146,243
1372,146,672
1373,146,170
1374,146,898
1375,146,10
1376,146,832
1377,146,535
1378,146,669
1379,146,494
1380,146,749
1381,146,101
1382,146,680
1383,147,415
1384,147,158
1385,147,9
1386,147,110
1387,147,4
1388,147,976
1389,148,501
1390,148,784
1391,148,689
1392,148,321
1393,148,485
1394,148,511
1395,148,966
1396,148,928
1397,148,943
1398,149,776
1399,149,871
1400,149,346
1401,149,969
1402,149,561
1403,149,322
1404,149,231
1405,149,516
1406,150,469
1407,150,204
1408,150,185
1409,150,410
1410,150,841
1411,150,604
1412,150,585
1413,150,904
1414,150,702
1415,150,133
1416,150,688
1417,151,141
1418,151,505
1419,151,394
1420,151,726
1421,151,633
1422,151,545
1423,151,333
1424,152,451
1425,152,641
1426,152,824
1427,152,967
1428,152,609
1429,152,736
1430,152,650
1431,153,923
1432,153,103
1433,153,558
1434,153,433
1435,153,417
1436,153,131
1437,153,343
1438,153,240
1439,153,185
1440,153,964
1441,153,66
1442,153,43
1443,153,51
1444,153,156
1445,154,726
1446,154,996
1447,154,900
1448,154,294
1449,154,781
1450,155,54
1451,155,175
1452,155,484
1453,155,187
1454,155,640
1455,155,717
1456,155,449
1457,155,937
1458,155,277
1459,156,144
1460,156,182
1461,156,132
1462,156,343
1463,156,610
1464,156,23
1465,156,571
1466,156,184
1467,156,195
1468,156,209
1469,156,435
1470,157,503
1471,157,246
1472,157,294
1473,157,651
1474,157,311
1475,157,861
1476,157,278
1477,157,64
1478,157,170
1479,157,886
1480,157,710
1481,157,684
1482,158,9
1483,158,398
1484,158,638
1485,158,806
1486,158,886
1487,159,111
1488,159,83
1489,159,405
1490,159,444
1491,159,615
1492,159,454
1493,159,174
1494,159,977
1495,159,452
1496,159,640
1497,160,7
1498,160,944
1499,160,312
1500,160,656
1501,160,67
1502,160,6
1503,160,922
1504,160,715
1505,160,397
1506,160,420
1507,160,351
1508,160,334
1509,160,275
1510,160,74
1511,161,656
1512,161,880
1513,161,918
1514,161,145
1515,161,415
1516,161,538
1517,161,209
1518,161,339
1519,161,68
1520,162,615
1521,162,748
1522,162,832
1523,162,969
1524,162,969
1525,162,834
1526,162,146
1527,162,775
1528,162,81
1529,162,693
1530,162,226
1531,162,920
1532,162,282
1533,163,918
1534,163,21
1535,163,388
1536,163,737
1537,163,267
1538,163,288
1539,163,106
1540,163,395
1541,164,130
1542,164,15
1543,164,389
1544,164,370
1545,164,553
1546,164,77
1547,164,511
1548,164,333
1549,165,303
1550,165,540
1551,165,562
1552,165,878
1553,165,858
1554,165,121
1555,165,451
1556,165,745
1557,165,299
1558,165,563
1559,165,971
1560,166,281
1561,166,569
1562,166,255
1563,166,876
1564,166,849
1565,166,79
1566,166,487
1567,166,350
1568,166,450
1569,166,884
1570,167,667
1571,167,297
1572,167,596
1573,167,608
1574,167,351
1575,167,188
1576,167,338
1577,167,156
1578,167,953
1579,167,612
1580,167,342
1581,167,376
1582,167,178
1583,168,143
1584,168,332
1585,168,196
1586,168,203
1587,168,903
1588,169,593
1589,169,83
1590,169,522
1591,169,753
1592,169,508
1593,169,461
1594,169,423
1595,169,848
1596,169,74
1597,169,580
1598,169,98
1599,170,407
1600,170,987
1601,170,462
1602,170,332
1603,170,487
1604,170,8
1605,170,28
1606,170,220
1607,171,122
1608,171,193
1609,171,546
1610,171,472
1611,171,53
1612,171,234
1613,171,986
1614,171,187
1615,171,225
1616,171,19
1617,171,833
1618,171,23
1619,172,716
1620,172,970
1621,172,183
1622,172,237
1623,172,901
1624,172,677
1625,172,949
1626,172,683
1627,172,576
1628,172,704
1629,172,791
1630,172,887
1631,172,858
1632,172,983
1633,173,510
1634,173,303
1635,173,970
1636,173,226
1637,173,914
1638,173,801
1639,173,765
1640,173,121
1641,173,405
1642,173,966
1643,174,733
1644,174,569
1645,174,464
1646,174,613
1647,174,49
1648,174,912
1649,174,383
1650,174,377
1651,174,391
1652,174,91
1653,175,762
1654,175,418
1655,175,124
1656,175,1000
1657,175,757
1658,175,526
1659,175,680
1660,175,886
1661,175,184
1662,175,356
1663,175,49
1664,175,351
1665,175,877
1666,175,583
1667,176,286
1668,176,793
1669,176,231
1670,176,301
1671,176,912
1672,176,568
1673,176,576
1674,176,774
1675,176,306
1676,177,529
1677,177,262
1678,177,244
1679,177,385
1680,177,10
1681,177,851
1682,177,668
1683,177,763
1684,177,252
1685,177,970
1686,178,124
1687,178,128
1688,178,772
1689,178,938
1690,178,190
1691,179,842
1692,179,378
1693,179,355
1694,179,195
1695,179,703
1696,179,600
1697,179,742
1698,179,292
1699,179,493
1700,180,407
1701,180,331
1702,180,751
1703,180,122
1704,180,260
1705,180,117
1706,181,902
1707,181,601
1708,181,739
1709,181,425
1710,181,366
1711,182,884
1712,182,77
1713,182,564
1714,182,215
1715,182,729
1716,182,503
1717,182,767
1718,182,783
1719,182,642
1720,182,513
1721,182,192
1722,182,877
1723,182,558
1724,183,460
1725,183,972
1726,183,519
1727,183,812
1728,183,876
1729,184,462
1730,184,167
1731,184,269
1732,184,490
1733,184,195
1734,184,127
1735,184,329
1736,184,728
1737,184,928
1738,184,105
1739,184,395
1740,184,934
1741,184,137
1742,184,690
1743,185,411
1744,185,369
1745,185,806
1746,185,275
1747,185,980
1748,185,704
1749,185,340
1750,185,771
1751,185,391
1752,185,298
1753,186,789
1754,186,411
1755,186,898
1756,186,516
1757,186,388
1758,186,445
1759,186,181
1760,186,461
1761,186,360
1762,186,987
1763,186,589
1764,187,868
1765,187,984
1766,187,658
1767,187,658
1768,187,749
1769,187,633
1770,187,47
1771,187,840
1772,187,859
1773,188,298
1774,188,791
1775,188,619
1776,188,859
1777,188,871
1778,188,910
1779,188,308
1780,188,228
1781,188,630
1782,188,49
1783,189,850
1784,189,830
1785,189,699
1786,189,200
1787,189,122
1788,189,724
1789,189,232
1790,189,729
1791,189,378
1792,189,363
1793,189,8
1794,189,818
1795,189,672
1796,190,406
1797,190,732
1798,190,393
1799,190,940
1800,190,39
1801,190,54
1802,190,161
1803,190,646
1804,190,739
1805,190,16
1806,190,92
1807,190,967
1808,190,986
1809,191,1
1810,191,557
1811,191,167
1812,191,686
1813,191,56
1814,191,654
1815,191,673
1816,191,180
1817,191,245
1818,191,231
1819,191,177
1820,192,428
1821,192,228
1822,192,585
1823,192,637
1824,192,707
1825,193,97
1826,193,849
1827,193,396
1828,193,751
1829,193,377
1830,193,817
1831,193,1000
1832,193,412
1833,193,693
1834,193,196
1835,193,115
1836,194,722
1837,194,464
1838,194,898
1839,194,10
1840,194,255
1841,195,630
1842,195,819
1843,195,211
1844,195,338
1845,195,94
1846,195,114
1847,195,449
1848,195,122
1849,195,217
1850,195,117
1851,196,802
1852,196,576
1853,196,640
1854,196,225
1855,196,574
1856,196,739
1857,196,541
1858,196,310
1859,196,728
1860,196,717
1861,196,839
1862,196,251
1863,196,549
1864,196,890
1865,197,644
1866,197,19
1867,197,679
1868,197,307
1869,197,997
1870,198,440
1871,198,631
1872,198,470
1873,198,101
1874,198,108
1875,198,828
1876,198,121
1877,198,346
1878,199,954
1879,199,421
1880,199,263
1881,199,222
1882,199,989
1883,199,682
1884,199,168
1885,199,480
1886,199,633
1887,199,288
1888,199,8
1889,200,782
1890,200,48
1891,200,851
1892,200,581
1893,200,839
1894,200,317
1895,200,443
1896,200,804
1897,200,745
1898,200,171
1899,200,507
1900,200,44
1901,200,384
1902,200,383
1903,201,56
1904,201,270
1905,201,765
1906,201,171
1907,201,881
1908,201,998
1909,201,851
1910,201,807
1911,201,788
1912,201,150
1913,202,591
1914,202,804
1915,202,13
1916,202,602
1917,202,90
1918,203,212
1919,203,837
1920,203,676
1921,203,21
1922,203,376
1923,203,863
1924,204,469
1925,204,933
1926,204,698
1927,204,134
1928,204,778
1929,204,717
1930,204,416
1931,205,941
1932,205,75
1933,205,392
1934,205,818
1935,205,907
1936,205,204
1937,205,938
1938,205,170
1939,206,875
1940,206,186
1941,206,647
1942,206,927
1943,206,591
1944,206,370
1945,206,160
1946,206,49
1947,206,69
1948,206,535
1949,207,268
1950,207,93
1951,207,871
1952,207,985
1953,207,590
1954,207,620
1955,207,357
1956,207,468
1957,207,33
1958,207,16
1959,207,82
1960,207,834
1961,207,288
1962,207,136
1963,208,951
1964,208,547
1965,208,125
1966,208,196
1967,208,86
1968,209,234
1969,209,378
1970,209,423
1971,209,375
1972,209,161
1973,209,437
1974,209,300
1975,209,414
1976,209,547
1977,209,35
1978,210,660
1979,210,356
1980,210,175
1981,210,391
1982,210,285
1983,210,820
1984,210,414
1985,211,368
1986,211,782
1987,211,376
1988,211,749
1989,211,38
1990,211,127
1991,211,515
1992,211,184
1993,211,679
1994,211,137
1995,212,977
1996,212,428
1997,212,409
1998,212,980
1999,212,638
2000,212,520
2001,213,933
2002,213,164
2003,213,43
2004,213,109
2005,213,193
2006,213,717
2007,213,895
2008,213,763
2009,214,416
2010,214,646
2011,214,345
2012,214,599
2013,214,779
2014,214,977
2015,215,366
2016,215,934
2017,215,173
2018,215,299
2019,215,720
2020,215,655
2021,215,491
2022,215,359
2023,215,692
2024,216,493
2025,216,276
2026,216,61
2027,216,964
2028,216,617
2029,217,199
2030,217,426
2031,217,238
2032,217,308
2033,217,655
2034,217,709
2035,217,161
2036,217,770
2037,217,955
2038,217,555
2039,217,154
2040,217,427
2041,218,41
2042,218,973
2043,218,562
2044,218,441
2045,218,709
2046,218,940
2047,218,611
2048,219,945
2049,219,347
2050,219,540
2051,219,372
2052,219,962
2053,220,326
2054,220,568
2055,220,255
2056,220,83
2057,220,906
2058,220,51
2059,220,517
2060,220,744
2061,220,80
2062,220,561
2063,220,152
2064,221,404
2065,221,623
2066,221,527
2067,221,145
2068,221,663
2069,221,619
2070,221,131
2071,221,197
2072,222,922
2073,222,836
2074,222,139
2075,222,470
2076,222,974
2077,222,904
2078,222,753
2079,222,121
2080,222,891
2081,223,145
2082,223,525
2083,223,47
2084,223,719
2085,223,871
2086,223,199
2087,223,268
2088,223,875
2089,223,396
2090,223,982
2091,224,314
2092,224,472
2093,224,272
2094,224,772
2095,224,969
2096,224,206
2097,224,66
2098,224,327
2099,224,875
2100,225,141
2101,225,63
2102,225,538
2103,225,158
2104,225,1000
2105,226,641
2106,226,67
2107,226,376
2108,226,897
2109,226,36
2110,226,273
2111,226,366
2112,227,746
2113,227,527
2114,227,346
2115,227,967
2116,227,846
2117,227,306
2118,228,623
2119,228,457
2120,228,395
2121,228,907
2122,228,869
2123,228,533
2124,228,974
2125,228,349
2126,229,211
2127,229,123
2128,229,890
2129,229,958
2130,229,97
2131,229,669
2132,229,163
2133,229,280
2134,229,757
2135,229,848
2136,229,174
2137,230,257
